time,open,high,low,close
2023-11-01T18:30:00+05:30,1.21221,1.21643,1.20956,1.21216
2023-11-01T22:30:00+05:30,1.21216,1.21569,1.2097499999999999,1.21512
2023-11-02T02:30:00+05:30,1.21512,1.21938,1.21335,1.21937
2023-11-02T06:30:00+05:30,1.21937,1.21962,1.21776,1.21778
2023-11-02T10:30:00+05:30,1.21778,1.21855,1.2155,1.2163599999999999
2023-11-02T14:30:00+05:30,1.2163599999999999,1.22255,1.21572,1.22151
2023-11-02T18:30:00+05:30,1.22151,1.22251,1.21676,1.21793
2023-11-02T22:30:00+05:30,1.21793,1.22094,1.21778,1.22029
2023-11-03T02:30:00+05:30,1.22029,1.22066,1.21848,1.21889
2023-11-03T06:30:00+05:30,1.21889,1.22045,1.21843,1.2200199999999999
2023-11-03T10:30:00+05:30,1.2200199999999999,1.22136,1.21859,1.21938
2023-11-03T14:30:00+05:30,1.21938,1.23178,1.21904,1.23128
2023-11-03T18:30:00+05:30,1.23128,1.23865,1.2298,1.23822
2023-11-03T22:30:00+05:30,1.23822,1.23896,1.23716,1.23775
2023-11-06T03:30:00+05:30,1.23623,1.23774,1.23623,1.23692
2023-11-06T07:30:00+05:30,1.23692,1.23815,1.23689,1.23779
2023-11-06T11:30:00+05:30,1.23779,1.2423899999999999,1.23765,1.23981
2023-11-06T15:30:00+05:30,1.23981,1.2428299999999999,1.23827,1.23848
2023-11-06T19:30:00+05:30,1.23848,1.24009,1.237,1.23709
2023-11-06T23:30:00+05:30,1.23709,1.23726,1.2338,1.23433
2023-11-07T03:30:00+05:30,1.23433,1.2347,1.23339,1.23384
2023-11-07T07:30:00+05:30,1.23384,1.23413,1.23263,1.23337
2023-11-07T11:30:00+05:30,1.23337,1.2336799999999999,1.23017,1.23034
2023-11-07T15:30:00+05:30,1.23034,1.23127,1.2275099999999999,1.23005
2023-11-07T19:30:00+05:30,1.23005,1.23117,1.22622,1.22715
2023-11-07T23:30:00+05:30,1.22715,1.23069,1.22691,1.22996
2023-11-08T03:30:00+05:30,1.22996,1.23013,1.22779,1.22848
2023-11-08T07:30:00+05:30,1.22848,1.22963,1.22739,1.2275
2023-11-08T11:30:00+05:30,1.2275,1.22783,1.22417,1.22478
2023-11-08T15:30:00+05:30,1.22478,1.22685,1.2242899999999999,1.22638
2023-11-08T19:30:00+05:30,1.22638,1.2301,1.22619,1.22922
2023-11-08T23:30:00+05:30,1.22922,1.23013,1.22813,1.22839
2023-11-09T03:30:00+05:30,1.22839,1.22922,1.22745,1.22878
2023-11-09T07:30:00+05:30,1.22878,1.22938,1.22776,1.22781
2023-11-09T11:30:00+05:30,1.22781,1.23086,1.22693,1.23
2023-11-09T15:30:00+05:30,1.23,1.23047,1.2252,1.22717
2023-11-09T19:30:00+05:30,1.22717,1.2295,1.22639,1.22662
2023-11-09T23:30:00+05:30,1.22662,1.22685,1.22125,1.22226
2023-11-10T03:30:00+05:30,1.22226,1.2227999999999999,1.22116,1.22241
2023-11-10T07:30:00+05:30,1.22241,1.22291,1.22192,1.22261
2023-11-10T11:30:00+05:30,1.22261,1.22378,1.2206299999999999,1.22169
2023-11-10T15:30:00+05:30,1.22169,1.223,1.22001,1.22241
2023-11-10T19:30:00+05:30,1.22241,1.22247,1.2187,1.22168
